Component,Quantity,Details,Address Range,Data Type,Total Registers,Memory Usage (bytes),Calculation Formula
SYSTEM OVERVIEW,,,,,,
Battery Strings,12,Physical string groups,N/A,N/A,N/A,N/A,Fixed architecture
Packets per String,4,Control units per string,N/A,N/A,N/A,N/A,Fixed architecture
Cells per Packet,104,Individual battery cells,N/A,N/A,N/A,N/A,Fixed architecture
BMS Units per Packet,6,Battery management boards,N/A,N/A,N/A,N/A,Fixed architecture
Sensors per BMS,8,Temperature sensors,N/A,N/A,N/A,N/A,Fixed architecture
,,,,,,
TOTAL CAPACITIES,,,,,,
Total Battery Cells,4992,12 × 4 × 104,1010-6001,IEEE 754 Float,9984,39936,"String × Packet × Cell"
Total Temperature Sensors,2304,12 × 4 × 6 × 8,7000-9303,IEEE 754 Float,4608,18432,"String × Packet × BMS × Sensor"
Total Balancing Circuits,4992,One per cell,40000-44991,Boolean,4992,4992,"Same as cell count"
Main System Parameters,5,Core BMS data,1000-1009,IEEE 754 Float,10,40,Fixed count
Control Coils,3,Digital outputs,30003-30008,IEEE 754 Float,6,24,Fixed count
,,,,,,
MEMORY FOOTPRINT,,,,,,
Total Modbus Registers,19600,All register types combined,1000-44991,Mixed,19600,63424,Sum of all ranges
Estimated RAM Usage,~64KB,Total memory footprint,N/A,N/A,N/A,63424,All data in memory
,,,,,,
REGISTER ADDRESS MAPPING,,,,,,
Main Parameters,1000-1009,SOC/SOH/Voltage/Current/Temp,32-bit Float pairs,IEEE 754,10,40,Fixed addresses
Cell Voltages,1010-6001,Individual cell measurements,32-bit Float pairs,IEEE 754,9984,39936,Calculated addresses
Temperature Sensors,7000-9303,Thermal monitoring,32-bit Float pairs,IEEE 754,4608,18432,Calculated addresses
Control Coils,30003-30008,System control values,32-bit Float pairs,IEEE 754,6,24,Fixed addresses
Balancing Status,40000-44991,Cell balancing states,Boolean values,Bool,4992,4992,Calculated addresses
,,,,,,
PERFORMANCE SPECIFICATIONS,,,,,,
Max Read Speed,125 registers/request,Modbus TCP limitation,Per request,Variable,125,250,Protocol standard
Recommended Polling,1-5 seconds,System update rate,N/A,N/A,N/A,N/A,Application dependent
Network Bandwidth,~1-10 Mbps,Estimated usage,N/A,N/A,N/A,N/A,Depends on polling rate
Concurrent Clients,Multiple,TCP connections,N/A,N/A,N/A,N/A,Server dependent
,,,,,,
DATA QUALITY SPECIFICATIONS,,,,,,
Cell Voltage Resolution,±1mV,Measurement precision,N/A,IEEE 754,N/A,N/A,32-bit float precision
Temperature Resolution,±0.1°C,Sensor precision,N/A,IEEE 754,N/A,N/A,32-bit float precision
Current Resolution,±0.1A,Current measurement,N/A,IEEE 754,N/A,N/A,32-bit float precision
Voltage Range,2.5V - 4.5V,Cell operating range,N/A,IEEE 754,N/A,N/A,Safety limits
Temperature Range,-40°C to +120°C,Sensor operating range,N/A,IEEE 754,N/A,N/A,Safety limits
